page,code,time_hr,type,composition,,,,,,,
49,02-04-001-336-4,200,Oxide,NiO,,,,,,,
49,02-04-001-336-4,200,Spinel,8.15,,,,,,,
49,02-04-001-336-4,200,Rutile,3.30,,,,,,,
49,02-04-001-336-4,200,Oxide,"Ni(W,Mo)O4 Type 2",,,,,,,
50,02-04-001-096-2,100,Spinel,8.10,,,,,,,
50,02-04-001-096-2,100,Oxide,Al2O3,,,,,,,
50,02-04-001-096-2,100,Oxide,NiO,,,,,,,
52,02-04-001-098-1,100,Spinel,8.05,,,,,,,
52,02-04-001-098-1,100,Rutile,3.30,,,,,,,
54,02-04-001-006-1,8,Oxide,Al2O3,,,,,,,
54,02-04-001-006-1,8,Oxide,Cr2O3,,,,,,,
54,02-04-001-006-5,100,Oxide,Al2O3,,,,,,,
54,02-04-001-006-5,100,Rutile,3.30,,,,,,,
55,02-04-002-323-3,100,Spinel,8.10,,,,,,,
55,02-04-002-323-3,100,Oxide,HfO2,,,,,,,
55,02-04-002-323-3,100,Oxide,Al2O3,,,,,,,
55,02-04-002-323-3,100,Rutile,3.30,,,,,,,
56,02-04-002-190-4,200,Spinel,8.10,,,,,,,
56,02-04-002-190-4,200,Oxide,Al2O3,,,,,,,
56,02-04-002-190-4,200,Rutile,3.30,,,,,,,
57,02-04-002-326-3,200,Spinel,8.05,,,,,,,
57,02-04-002-326-3,200,Oxide,Al2O3,,,,,,,
57,02-04-002-326-3,200,Rutile,3.30,,,,,,,
57,02-04-002-326-3,200,Oxide,HfO2,,,,,,,
58,02-04-003-041-6,100,Spinel,8.10,,,,,,,
58,02-04-003-041-6,100,Unknown,2.57,,,,,,,
58,02-04-003-041-6,100,Unknown,3.29,,,,,,,
58,02-04-003-041-6,100,Unknown,3.52,,,,,,,
59,02-04-003-095-3,75,Spinel,8.30,,,,,,,
61,02-04-003-105-2,100,Spinel,8.25,,,,,,,
61,02-04-003-105-2,100,Oxide,Cr2O3,,,,,,,
65,02-04-003-127-4,100,Spinel,8.10,,,,,,,
65,02-04-003-127-4,100,Oxide,Al2O3,,,,,,,
65,02-04-003-127-4,100,Spinel,8.25,,,,,,,
65,02-04-003-127-4,100,Oxide,NiO,,,,,,,
65,02-04-003-127-4,100,Rutile,3.30,,,,,,,
69,02-04-003-096-6,100,Spinel,8.10,,,,,,,
69,02-04-003-096-6,100,Oxide,Cr2O3,,,,,,,
69,02-04-003-096-6,100,Oxide,NiO,,,,,,,
71,02-04-003-098-6,100,Oxide,Cr2O3,,,,,,,
72,02-04-004-041-4,100,Spinel,8.15,,,,,,,
72,02-04-004-041-4,100,Rutile,3.30,,,,,,,
73,02-04-004-003-1,8,Rutile,3.30,,,,,,,
73,02-04-004-003-1,8,Oxide,Al2O3,,,,,,,
73,02-04-004-003-1,8,Oxide,Cr2O3,,,,,,,
73,02-04-004-003-5,100,Oxide,Al2O3,,,,,,,
73,02-04-004-003-5,100,Rutile,3.30,,,,,,,
74,02-04-004-007-6,8,Oxide,Al2O3,,,,,,,
74,02-04-004-007-6,8,Rutile,3.30,,,,,,,
75,02-04-005-041-2,100,Oxide,NiO,,,,,,,
75,02-04-005-041-2,100,Spinel,8.30,,,,,,,
75,02-04-005-041-2,100,Oxide,Cr2O3,,,,,,,
76,02-04-005-321-1,100,Oxide,NiO,,,,,,,
76,02-04-005-321-1,100,Spinel,8.30,,,,,,,
76,02-04-005-321-1,100,Oxide,Cr2O3,,,,,,,
76,02-04-005-321-1,100,Rutile,3.30,,,,,,,
76,02-04-005-321-1,100,Oxide,NiTiO3,,,,,,,
76,02-04-005-321-1,100,Oxide,"Ni(W,Mo)O4 Type 2",,,,,,,
77,02-04-005-004-1,8,Oxide,Cr2O3,,,,,,,
77,02-04-005-004-1,8,Rutile,Rutile,,,,,,,
77,02-04-005-004-5,100,Oxide,Cr2O3,,,,,,,
77,02-04-005-004-5,100,Spinel,8.25,,,,,,,
77,02-04-005-004-5,100,Rutile,3.30,,,,,,,
78,02-04-005-324-1,200,Oxide,NiO,,,,,,,
78,02-04-005-324-1,200,Spinel,8.30,,,,,,,
78,02-04-005-324-1,200,Oxide,Cr2O3,,,,,,,
78,02-04-005-324-1,200,Rutile,3.30,,,,,,,
78,02-04-005-324-1,200,Oxide,NiTiO3,,,,,,,
78,02-04-005-324-1,200,Unknown,2.88,,,,,,,
79,02-04-005-008-1,8,Oxide,Cr2O3,,,,,,,
79,02-04-005-008-1,8,Rutile,3.30,,,,,,,
79,02-04-005-008-5,100,Oxide,Cr2O3,,,,,,,
79,02-04-005-008-5,100,Rutile,3.30,,,,,,,
80,02-04-007-323-2,100,Oxide,NiO,,,,,,,
80,02-04-007-323-2,100,Spinel,8.30,,,,,,,
80,02-04-007-323-2,100,Oxide,Cr2O3,,,,,,,
80,02-04-007-323-2,100,Oxide,NiTiO3,,,,,,,
80,02-04-007-323-2,100,Rutile,3.30,,,,,,,
80,02-04-007-323-2,100,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
81,02-04-007-323-5,100,Spinel,8.30,,,,,,,
